"","species","SVL","abu_cat","lat.range","maxGCD_extant","mean_lat","min_lat","Red.List.status","Order","Family","Genus"
"44","Aglyptodactylus laticeps",51,3,0.960000000000001,111.323871569685,-18.6677702702703,-19.18,"VU","ANURA","MANTELLIDAE","Aglyptodactylus"
"45","Aglyptodactylus madagascariensis",53,4,9.19,1156.47642158225,-19.3162252964427,-24.64,"LC","ANURA","MANTELLIDAE","Aglyptodactylus"
"46","Aglyptodactylus securifer",35,3,9.6,1338.94812892938,-15.3910593841642,-21.55,"LC","ANURA","MANTELLIDAE","Aglyptodactylus"
"47","Alexteroon hypsiphonus",26,3,10.81,1269.14900722033,-0.123672692673644,-4.9,"LC","ANURA","HYPEROLIIDAE","Alexteroon"
"48","Alexteroon jynx",23.775,NA,0.140000000000001,0,4.92444444444444,4.85,"CR","ANURA","HYPEROLIIDAE","Alexteroon"
"49","Alexteroon obstetricans",28.5,3,8.34,1026.28908603229,1.85189430591738,-2.66,"LC","ANURA","HYPEROLIIDAE","Alexteroon"
"50","Allobates brunneus",17.2,3,20.96,2438.40560926015,4.40361757105943,-14.48,"LC","ANURA","AROMOBATIDAE","Allobates"
"51","Allobates chalcopis",17.3,3,0.0200000000000014,9.50453877449036e-05,14.8,14.79,"VU","ANURA","AROMOBATIDAE","Allobates"
"52","Allobates femoralis",35,3,22.57,4127.976823863,-0.549038180680159,-15.18,"LC","ANURA","AROMOBATIDAE","Allobates"
"53","Allobates flaviventris",19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Allobates marchesianus",26.4,3,15.61,3061.3096380975,-7.7685960591133,-12.43,"LC","ANURA","AROMOBATIDAE","Allobates"
"55","Allobates myersi",30.5,1,4.84,599.442781325024,-1.058125,-4.1,"LC","ANURA","AROMOBATIDAE","Allobates"
"56","Allobates ornatus",17.7,NA,0.13,111.323871569726,-6.50461538461539,-6.57,"DD","ANURA","AROMOBATIDAE","Allobates"
"57","Allobates talamancae",24.5,3,10.89,1343.71155697097,6.98260597439545,0.15,"LC","ANURA","AROMOBATIDAE","Allobates"
"58","Allophryne resplendens",28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Allophryne ruthveni",26.75,3,19.3,2468.23239592678,1.98996931338703,-10.65,"LC","ANURA","ALLOPHRYNIDAE","Allophryne"
"60","Alsodes hugoi",70.7,1,0.140000000000001,0.000134414476389852,-35.2817647058824,-35.36,"DD","ANURA","ALSODIDAE","Alsodes"
"61","Alsodes norae",46,NA,0.0200000000000031,9.50453877449036e-05,-39.69125,-39.7,"DD","ANURA","ALSODIDAE","Alsodes"
"62","Altiphrynoides malcolmi",26.5,3,0.36,9.50453877449036e-05,6.90602040816327,6.76,"EN","ANURA","BUFONIDAE","Altiphrynoides"
"63","Alytes cisternasii",37.56,3,5.09,653.941541206651,37.9153333333333,36.88,"NT","ANURA","ALYTIDAE","Alytes"
"64","Alytes dickhilleni",47.17,1,2,287.375372040871,37.7278431372549,36.74,"VU","ANURA","ALYTIDAE","Alytes"
"65","Alytes maurus",45,3,2.31,240.594456135771,34.9966666666667,33.62,"NT","ANURA","ALYTIDAE","Alytes"
"66","Alytes muletensis",35.18,NA,0.289999999999999,85.2785859756906,39.7294230769231,39.58,"VU","ANURA","ALYTIDAE","Alytes"
"67","Alytes obstetricans",47.31,3,14.67,2115.21446646335,45.0616788843197,37.72,"LC","ANURA","ALYTIDAE","Alytes"
"68","Amazophrynella minuta",18,1,22.79,3584.38617309096,0.555509227614491,-17.12,"LC","ANURA","BUFONIDAE","Amazophrynella"
"69","Ameerega altamazonica",21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Ameerega parvula",20.8,3,3.78,809.954850964549,-2.375625,-3.98,"LC","ANURA","DENDROBATIDAE","Ameerega"
"71","Ameerega silverstonei",40.6,NA,2.48,222.647743139366,-7.88304347826087,-9.02,"EN","ANURA","DENDROBATIDAE","Ameerega"
