Species,Presence of sexual dimorphism,Body mass in males,Body mass in females,Adult body mass,Body mass in juveniles,Snout-to-vent length in males,Snout-to-vent length in females,Adult snout-to-vent length,Total length in males,Total lenght in females,Adult total length,Head length < Body length,Head length = Body length,Head length > Body length,Foot length in males,Foot length in females,Adult foot length,Hind limb length in males,Hind limb length in females,Adult hind limb length,Tibia length in males,Tibia length in females,Adult tibia length,Fore limb length < Hind limb length,Fore limb length = Hind limb length,Fore limb length > Hind limb length,Presence of discs,Presence of webbing,Webbing on toes only,Webbing on fingers and toes,Reduction on fingers only,Reduction on fingers and toes,Presence of metatarsal tubercle,Dorsoseparation,Webbing colour contrast,Diurnal,Nocturnal,Both,Survival rate in adults,Survival rate in juveniles,Survivale rate in tadpoles,Sexual maturity in males,Sexual maturity in females,Adult sexual maturity,Polyandry,Polygyny,Viviparous: number of offspring,Ovoviviparous: number of eggs,Ovoviviparous: number of offspring,Single,Cluster,Strings,Metamorphosis size,Number of eggs or offspring,Egg diameter,Egg mass,Pole visible on egg,On ground,On adult,Attach in lotic habitat,Attach in lentic habitat,Free in lentic habitat,On surface in lentic habitat,Attach on swamps in lentic habitat,Free on swamps in lentic habitat,On surface on swamps in lentic habitat,On surface on non-permanent lentic ponds,Explosive or prolonged,Presence of parental care,Transport of eggs,Transport of tadpoles,Guarding eggs,Defend eggs,Water eggs,,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Carnivorous,Insectivorous,Moluscivorous,Cannibalism,Herbivorous,Detritivorous,Metabolism rate,Secretion,Toxicity,Death simulation,Unken reflex,Other,Visual,Acoustic,Chemical,Seismic,Males territorial,Females territorial,Both territorial,,,,,Walker,Jumper,Runner,Climber,Swimmer,Crawler,Dispersal stage juvenile,Dispersal stage adult,Dispersal stade during breeding season,Mean dispersal distance,Maximum dispersal distance,Minimal dispersal distance,Migration stage adult,Migration stage during breeding season,Mean migration distance,Maximum migration distance,Minimal migration distance,boreal,subarctic,subantarctic,subtropical/tropical dry,temperate,subtropical/tropical moist lowland,subtropical/tropical mangrove vegetation aboral,subtropical/tropical swamp,subtropical/tropical moist montane,dry,moist,subarctic,subantarctic,boreal,temperate,subtropical/tropical dry,subtropical/tropical moist,tropical high altitude,mediterranean-type shrubby vegetation,tundra,subarctic,subantarctic,temperate,subtropical/tropical dry,subtropical/tropical seasonally wet/ flooded,subtropical/ tropical high altitude,permanent rivers/streams/creeks (including waterfalls),intermittent/irregular rivers/streams/creeks,shrub dominated wetlands,bogs/marshes/swamps/fens/peatlands,permanent freshwater lakes (>8ha),seasonal/intermittent freshwater lakes (>8ha),permanent freshwater marshes/pools (>8ha),seasonal/intermittent freshwater marshes/pools (<8ha),freshwater springs and oases,tundra wetlands,geothermal wetlands,permanent inland deltas,"permanent saline, brackish or alkaline lakes","seasonal/intermittent saline, brackish or alkaline lakes","permanent saline, brackish or alkaline marshes/pools",karst and other subterranean hydrological systems,"inland cliffs, moutain peaks",caves,other subterranean habitats,hot,temperate,cold,arable land,pastureland,plantations,rural gardens,urban areas,subtropical/tropical heavily degraded former forest,dunes,Altitude min,Altitude max,Alpine,Anatolian,Arctic,Atlantic,Black Sea,Boreal,Continental,Mediterranean,Macaronesian,Pannonian,Steppic,absolute,absolute,ponctual,< 10 %,10-20 %,20-30 %,30-40 %,40-50 %,50-60 %,60-70 %,70-80 %,80-90 %,> 90 %,absolute,ponctual,< 15 %,15-30 %,30-45 %,45-60 %,60-75 %,75-90 %,> 90 %,absolute,ponctual,< 20 %,20-40 %,40-60 %,60-80 %,> 80 %,absolute,ponctual,< 25 %,25-50 %,50-75 %,> 75 %,absolute,ponctual,< 50 %,> 50 %,Ubiquity,Subendemic,Endemic,Data Deficient,Least Concern,Near Threatened,Vulnerable,Endangered,Critically Endangered,Data Deficient,Decrease,Stable,Increase,Habitat loss,Invasive alien,Harvesting,Accidental,Persecution,Pollution,Climate change,Natural disasters,Change dynamics,Intrinsic factors,Human disturbance,Unknow
Bufo mauritanicus,DD,DD,DD,DD,DD,132,150,141,DD,DD,141,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,DD,DD,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,12,10000,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,DD,2600,0,0,0,0,0,0,0,1,0,0,0,754569.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
Calotriton arnoldi,DD,DD,DD,DD,DD,58.95,58.45,58.7,104.6,104.6,103.95,0,1,0,DD,DD,DD,DD,DD,18.27,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,DD,DD,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,20,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,1,0,0,0,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,600,1200,0,0,0,0,0,0,0,1,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Calotriton asper,1,7.1,6.13,6.62,1.8,64.97,61.67,63.32,112.93,121.01,116.7,0,1,0,DD,DD,DD,18.29,16.51,16.5,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DD,DD,DD,3,4,3,DD,DD,0,0,0,1,0,0,53.38,30,5,DD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,0,1,0,0,0,0,DD,1,DD,0,1,0,0,0,1,0,0,1,0,DD,DD,DD,1,0,50,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,175,2500,1,0,0,1,0,0,0,1,0,0,0,30087.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
Chioglossa lusitanica,1,DD,DD,2,DD,45.09,45.94,45.51,156,164,159,0,0,1,DD,DD,DD,12.62,12.6,14.04,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DD,DD,DD,DD,DD,4,DD,DD,0,0,0,0,1,0,70,20,5,DD,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,0,1,1,0,1,0,DD,DD,DD,DD,DD,1,0,0,0,0,1,0,0,1,1,0,25,700,DD,1,0,DD,700,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,1,0,0,0,1,0,0,0,59341.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0
Discoglossus galganoi,1,21.8,15.2,18.5,DD,54.85,49.2,52.03,50.5,46.5,52.03,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,DD,5,4,4,1,0,0,0,0,0,1,0,10,1500,2,DD,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,DD,0,1,0,0,1,1,1,1,1,1,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,1,0,0,0,1,0,0,0,321622.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
Discoglossus jeanneae,DD,DD,DD,DD,DD,39.5,40.7,40.1,DD,DD,40.1,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,DD,DD,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,DD,1500,DD,DD,DD,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,1,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,DD,0,0,0,1,0,0,0,1,0,0,0,197868.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Discoglossus montalentii,1,DD,DD,DD,DD,DD,DD,60,DD,DD,60,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,DD,1000,1.5,DD,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,0,0,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,1,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,300,1900,0,0,0,0,0,0,0,1,0,0,0,4506.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Discoglossus pictus,1,22.05,9.65,15.85,DD,56.49,47.86,52.18,DD,DD,52.18,1,0,0,27.25,23.5,25.38,89.75,80,86.67,29.75,26,28.83,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,DD,DD,DD,DD,DD,4,DD,DD,0,0,0,0,1,0,10,1500,1.5,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,0,1,0,0,1,1,1,1,1,1,0,0,0.21,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1500,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1500,0,0,0,0,0,0,0,1,0,0,0,218784.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Discoglossus sardus,1,DD,DD,DD,DD,54.6,55.5,55.05,DD,DD,55.05,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,DD,DD,DD,DD,DD,3,DD,DD,0,0,0,0,1,0,15.25,1000,1.5,DD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DD,0,0,0,0,1,1,1,1,0,1,0,0,DD,0,0,0,0,1,1,1,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,250,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,0,0,0,1,0,0,0,33013.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Epidalea calamita,1,46.81,53.63,50.22,DD,59.03,67.13,63.08,72.88,72.75,63.08,1,0,0,24,22.33,23.17,68.67,67.67,68.17,20.67,20,20.34,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,DD,0.22,0.27,3,4,3,0,1,0,0,0,0,0,1,9.66,4000,1.7,DD,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0.32,1,0,0,0,1,1,1,1,1,1,0,0,1450,1,1,0,0,0,1,1,0,0,1,1,0,2462.8,4411,567,0,1,510.66,2600,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2400,1,0,0,1,0,1,1,1,0,0,0,2758680.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
Euproctus montanus,1,DD,DD,2.5,DD,56,58,57,DD,DD,116.5,0,0,1,DD,DD,DD,DD,DD,20.5,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,DD,DD,DD,3,4,3,DD,DD,0,0,0,1,0,0,50.85,60,2.5,DD,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,DD,0,0,1,1,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2260,0,0,0,0,0,0,0,1,0,0,0,6018.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0
Euproctus platycephalus,1,5.1,2.9,4,DD,59.85,43.55,51.7,127,112,120,0,0,1,DD,DD,DD,30.3,25.2,16.5,DD,DD,DD,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,DD,DD,DD,DD,DD,2.5,DD,DD,0,0,0,1,0,0,60,220,3,DD,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,1,0,1,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1800,0,0,0,0,0,0,0,1,0,0,0,10840.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
Hyla arborea,1,5.35,7.06,6.04,DD,41.19,44.03,42.61,43.07,44.35,42.61,1,0,0,17.33,18.67,18,58,19.33,60.84,18,18.67,19.07,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,DD,DD,DD,1,2,1,0,1,0,0,0,0,1,0,18,1400,1.5,DD,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1.75,1,0,0,0,0,1,1,0,0,1,0,0,10,1,1,1,0,1,0,1,0,0,1,1,0,DD,2400,1500,1,0,390,12570,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2300,1,1,0,1,1,1,1,1,0,1,1,4481673.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0
Hyla intermedia,DD,DD,DD,6.28,DD,38.03,43.93,40.98,DD,DD,40.98,1,0,0,DD,DD,17.14,DD,DD,DD,DD,DD,15.72,1,0,0,1,1,0,1,1,0,1,DD,DD,0,0,1,DD,DD,DD,1,2,1,0,1,DD,DD,DD,0,1,0,20,1400,1.5,DD,DD,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,0,0,0,DD,1,0,0,0,0,1,1,0,0,1,0,0,DD,1,DD,DD,0,1,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,12600,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,2300,1,0,0,0,0,0,1,1,0,0,0,247041.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
Hyla meridionalis,1,2.65,2.65,3.11,DD,38.59,39.45,39.02,DD,DD,39.02,1,0,0,17.33,17.67,17.5,64.33,65.67,65.02,20.33,17.67,20.55,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,DD,DD,DD,1,2,1,DD,DD,0,0,0,0,1,0,14.8,1000,1.5,DD,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,DD,0,0,0,0,1,1,1,1,1,0,1,0,DD,1,0,0,0,0,1,1,0,0,1,0,0,DD,1,DD,DD,0,1,0,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,965,1,0,0,1,0,0,0,1,1,0,0,694723.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
Hyla sarda,1,DD,DD,3.18,DD,DD,DD,35.6,DD,DD,35.6,1,0,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,DD,DD,DD,1,2,1,DD,DD,0,0,0,0,1,0,20,1000,1.5,DD,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,DD,0,1,0,0,0,0,1,1,1,0,0,0,DD,1,0,0,0,0,1,1,0,0,1,0,0,DD,1,DD,DD,0,1,0,1,0,0,0,1,0,DD,500,DD,DD,DD,DD,12600,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1750,0,0,0,0,0,0,0,1,0,0,0,33518.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lissotriton boscai,1,DD,DD,1.77,DD,32.18,38.12,35.15,66.44,77.2,72.49,0,1,0,DD,DD,DD,DD,DD,13.5,DD,DD,32.94,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,DD,DD,DD,DD,DD,3,DD,DD,DD,DD,DD,1,0,0,32.95,250,2,0,DD,0,0,1,1,0,0,1,0,0,0,0,DD,0,0,0,0,0,DD,1,1,1,0,0,0,1,1,1,1,1,1,DD,0,0,0,1,0,1,0,1,1,0,0,0,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,80,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1940,0,0,0,1,0,0,0,1,0,0,0,240559.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0
Lissotriton helveticus,1,1.24,1.45,1.3,DD,34.5,39.64,37.07,72,76,77.24,0,1,0,DD,DD,DD,DD,DD,14,DD,DD,DD,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0.42,DD,DD,2,5,2,0,1,0,0,0,1,0,0,35,460,1.5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,DD,1,0,0,0,1,1,1,1,1,0,0,0,DD,1,DD,DD,1,0,0,0,1,0,1,1,0,DD,DD,DD,1,1,DD,400,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1,0,0,1,0,0,1,1,0,0,0,1376115.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0
Lissotriton italicus,1,DD,DD,0.98,DD,DD,DD,NA,DD,80,67.28,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,1,0,0,1,1,0,1,0,0,1,DD,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,1,0,0,25,400,1.5,DD,DD,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,DD,0,1,0,0,0,0,1,1,1,0,0,0,DD,0,0,0,0,1,1,0,1,1,0,0,0,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,182,DD,DD,DD,DD,DD,DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525,0,0,0,0,0,0,1,1,0,0,0,78459.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
Lissotriton montandoni,1,1.7,2.6,2.15,DD,38.79,45.04,41.91,75,100,83.85,0,1,0,DD,DD,DD,13.4,13.6,14.17,DD,DD,DD,0,1,0,0,1,1,0,1,0,0,DD,DD,0,0,1,DD,DD,DD,DD,DD,3,DD,DD,DD,DD,DD,1,0,0,30,250,DD,DD,DD,0,0,0,1,0,0,1,0,0,0,1,DD,0,0,0,0,0,DD,DD,DD,DD,DD,DD,DD,1,1,1,1,0,0,DD,0,0,0,0,1,1,0,1,1,0,0,0,DD,DD,DD,DD,1,0,0,0,1,0,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,DD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2000,1,0,0,0,0,0,1,0,0,0,0,149289.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0
