species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Acanthostomatops vorax,52522,Fossilworks,J. Alroy,150298,14125,14125,295,290.1,292.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,517732,31,Sakmarian,yes,temporal single,7.727055414,23.29848619,50.999722,13.650278,0,1,limestone,low,NA,1,y,NA,NA,Acanthostomatops,Zatracheidae
Acheloma cumminsi,28267,Fossilworks,J. Alroy,81713,9228,9228,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,296101,33,Kungurian,no,temporal single,0.427583791,-29.702617,33.7,-99.266667,6,1,claystone,low,1,1,y,1,NA,Acheloma,Trematopidae
Acheloma cumminsi,79162,PaleoDB,J. Mueller,81713,5743,43845,296.4,268,282.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,789967,33,Kungurian,no,temporal single,0.061937284,-29.32382698,33.583333,-98.65,6,1,not reported,NA,1,1,y,1,NA,Acheloma,Trematopidae
Acheloma dunni,67862,Fossilworks,J. Alroy,180406,35587,19393,290.1,268,279.05,"fine,gray",NA,NA,coarse,conglomerate,NA,NA,NA,NA,930782,33,Kungurian,yes,temporal single,0.975413717,-28.53860343,34.770556,-98.403889,0,1,claystone,low,6,2,n,217,2 skulls; snout; jaw articulation; pelvic girdle; right humerus,Acheloma,Trematopidae
Acheloma pricei,79162,PaleoDB,J. Mueller,37048,5743,43845,296.4,268,282.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,789968,33,Kungurian,yes,temporal single,0.061937284,-29.32382698,33.583333,-98.65,0,1,not reported,NA,1,1,y,1,NA,Acheloma,Trematopidae
Albanerpeton arthridion,14375,Fossilworks,J. Alroy,114401,26201,3184,112.6,99.7,106.15,NA,sandy,NA,NA,NA,NA,claystone,NA,NA,831984,61,Albian,no,longer,39.15311745,-49.23481731,33.283333,-97.616667,10,2,claystone,low,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,52045,ETE,M. Carrano,114401,39274,13937,112.6,99.7,106.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,721129,61,Albian,no,longer,39.39040548,-49.11491321,33.5331639,-97.5566935,10,2,sandstone,medium 1,9,3,n,2,5 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,14388,Fossilworks,J. Alroy,114401,26201,19641,112.6,99.7,106.15,NA,NA,NA,NA,NA,buff sand,NA,NA,NA,721130,61,Albian,no,longer,39.3617155,-49.15002101,33.500178,-97.582739,10,2,buff sand,medium 1,12,4,n,7,based on 8 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton arthridion,14392,Fossilworks,J. Alroy,114401,1219,1212,122.46,109,115.73,"concretionary,gray,green,red",NA,NA,"lenticular,brown,yellow",sandstone,NA,NA,NA,NA,520894,60,Aptian,no,longer,36.8040014,-36.90729376,34.4,-96.1,10,2,claystone,low,43,16,n,7,based on 32 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton cifellii,14415,Fossilworks,J. Alroy,156365,6845,1412,91.6,91.4,91.5,green,NA,NA,NA,NA,NA,NA,NA,NA,247987,63,Turonian,yes,temporal single,45.61790019,-70.83122346,37.8,-111.5,0,1,claystone,low,1,1,n,1,based on 1 premaxilla,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14514,Fossilworks,J. Alroy,114403,42675,1129,70.6,66.043,68.3215,"brown,gray",NA,NA,NA,NA,NA,NA,NA,NA,1070845,67,Maastrichtian,no,longer,53.55144824,-71.00888142,41.5683,-108.6678,18,3,mudstone,low,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45893,ETE,M. Carrano,114403,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070842,66,Campanian,no,longer,59.56162628,-65.47417682,49.74078,-110.71584,18,3,siltstone,medium 1,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45674,ETE,M. Carrano,114403,42675,11964,78.8,78.6,78.7,"planar lamination,deformed bedding,brown","argillaceous,silty",NA,NA,NA,NA,NA,NA,NA,1070840,66,Campanian,no,longer,59.58490947,-65.40791584,49.77593,-110.683642,18,3,sandstone,medium 1,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,146192,PaleoDB,M. Carrano,114403,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147020,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,18,3,not reported,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14466,Fossilworks,J. Alroy,114403,42675,1412,83.4,83.2,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070843,66,Campanian,no,longer,48.17852687,-73.67456245,37.4,-111.2,18,3,NA,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45567,ETE,M. Carrano,114403,42675,42675,78.8,78.6,78.7,"deformed bedding,lag","argillaceous,silty","argillaceous,silty","deformed bedding,lag",mudstone,NA,NA,NA,NA,1070839,66,Campanian,no,longer,59.04002519,-66.25186724,49.101848,-110.941038,18,3,sandstone,medium 1,2,1,n,4,small left and large right dentary,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,45566,ETE,M. Carrano,114403,42675,42675,81.3,76.2,78.75,tabular,"argillaceous,silty",NA,"deformed bedding,ferruginous",siltstone,NA,NA,NA,NA,1070838,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,18,3,sandstone,medium 1,3,1,y,1,based on 3 specimens of unknown type,Albanerpeton,Albanerpetontidae
Albanerpeton galaktion,14422,Fossilworks,J. Alroy,114403,42675,1510,85.8,84.9,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146992,65,Santonian,no,longer,57.40091092,-67.04760439,49.1,-111.8,18,3,not reported,NA,6,1,n,1,based on 6 specimens of unknown type (combiend 6 sep. entries),Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,67872,ETE,M. Carrano,156366,42675,19348,84.9,70.6,77.75,"""cross stratification""",NA,NA,NA,NA,NA,NA,NA,NA,1069417,66,Campanian,no,temporal single,60.70011204,-65.55851033,50.75588,-111.52469,7,1,sandstone,medium 2,1,1,n,227,1 maxilla;  corrected pbdb from 12 to1,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,67873,ETE,M. Carrano,156366,42675,19348,84.9,70.6,77.75,"""cross stratification""",NA,NA,NA,NA,NA,NA,NA,NA,1069419,66,Campanian,no,temporal single,60.72039821,-65.22477088,50.84381,-111.304666,7,1,sandstone,medium 2,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,45893,ETE,M. Carrano,156366,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,464660,66,Campanian,no,temporal single,59.56162628,-65.47417682,49.74078,-110.71584,7,1,siltstone,medium 1,2,1,n,4,2 premaxilla,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,14489,Fossilworks,J. Alroy,156366,42675,2988,76.4,76.2,76.3,NA,NA,NA,NA,sandstone,NA,fine conglomerate with thin layers of sandstone,NA,NA,1069421,66,Campanian,no,temporal single,38.51926098,-68.68485448,29.316667,-103.516667,7,1,conglomerate,high,3,1,y,NA,NA,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,45899,ETE,M. Carrano,156366,42675,42675,78.8,78.6,78.7,"lenticular,brown","argillaceous,sandy","argillaceous,carbonaceous","lenticular,gray,green",siltstone,NA,NA,NA,NA,464812,66,Campanian,no,temporal single,59.53266754,-65.42066303,49.72575,-110.659029,7,1,siltstone,medium 1,4,2,n,4,premaxillae,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,14466,Fossilworks,J. Alroy,156366,42675,1412,83.4,83.2,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069420,66,Campanian,no,temporal single,48.17852687,-73.67456245,37.4,-111.2,7,1,NA,NA,5,1,y,NA,NA,Albanerpeton,Albanerpetontidae
Albanerpeton gracilis,45566,ETE,M. Carrano,156366,42675,42675,81.3,76.2,78.75,tabular,"argillaceous,silty",NA,"deformed bedding,ferruginous",siltstone,NA,NA,NA,NA,461898,66,Campanian,no,temporal single,59.03801725,-66.25170696,49.100049,-110.93967,7,1,sandstone,medium 1,85,40,n,1,63+16+6 specimens combined. mostly maxillae and frontals. therefore i devided by 2 to get individual counts,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,48320,Fossilworks,J. Alroy,114402,52039,12913,20.43,13.65,17.04,shelly/skeletal,NA,sandy,NA,marl,NA,NA,NA,NA,1217120,76,Lower Miocene,no,longer,44.97254894,13.85914866,48.819444,11.320278,16,4,lignite,low,1,1,y,12,NA,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,159022,NA,M. Carrano,114402,52039,52039,16.9,15.97,16.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217124,76,Lower Miocene,no,longer,45.04071553,13.72019425,48.883333,11.166667,16,4,limestone,low,1,1,y,12,no reference g iven in fosfarDatabase,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,49418,Fossilworks,J. Alroy,114402,52039,13208,15.97,13.65,14.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217118,77,Middle Miocene,no,longer,45.95329816,13.56439644,48.608611,11.775833,16,4,not reported,NA,1,1,n,12,based on 1 frontoparietal,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,69179,PaleoDB,L. van den Hoek Ostende,114402,52039,19930,20,16.9,18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217126,76,Lower Miocene,no,longer,44.79068148,12.53632824,48.596667,9.913333,16,4,not reported,NA,1,1,y,12,based on the reference I assume 1 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,68040,PaleoDB,L. van den Hoek Ostende,114402,52039,19479,20,16.9,18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217127,76,Lower Miocene,no,longer,45.06688096,13.71920317,48.909444,11.163889,16,4,NA,NA,1,1,y,12,based on the reference I assume 1 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,66943,PaleoDB,L. van den Hoek Ostende,114402,52039,19062,11.1,9.7,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217132,78,Upper Miocene,no,longer,46.52585267,17.12813831,48.0575,16.270278,16,4,NA,NA,1,1,n,12,based on the reference I assume 1 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,48321,Fossilworks,J. Alroy,114402,52039,12913,11.608,7.246,9.427,shelly/skeletal,NA,NA,NA,NA,NA,NA,NA,NA,1217119,78,Upper Miocene,no,longer,47.37104973,12.24675998,48.840278,11.223333,16,4,lignite,low,2,1,n,12,based on 1 pramaxilla + 1 dentary,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,45612,Fossilworks,J. Alroy,114402,52039,11994,15.97,13.65,14.81,NA,NA,NA,NA,conglomerate,NA,NA,NA,NA,1217130,77,Middle Miocene,no,longer,46.05620312,13.79827043,48.716667,12.016667,16,4,marl,low,2,1,y,12,combined 2 entries. based on reference I assume 2 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,74538,PaleoDB,L. van den Hoek Ostende,114402,52039,25040,16.9,15.97,16.435,NA,carbonaceous,NA,NA,NA,NA,NA,NA,NA,1217122,76,Lower Miocene,no,longer,41.97478275,18.38137617,47.073611,15.151389,16,4,claystone,low,2,1,y,12,combined 2 entries. based on reference I assume 2 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,84364,PaleoDB,L. van den Hoek Ostende,114402,46985,28268,28.4,23.03,25.715,NA,NA,NA,NA,NA,not reported,"lake environment, this is based mainly on the Begleitfauna",NA,8,1139817,75,Chattian,no,longer,45.57870299,13.23919219,50.276944,9.795278,16,4,not reported,low,3,2,n,8,based on 3 dentals,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,28629,PaleoDB,J. Head,114402,52039,7900,16.9,15.97,16.435,red or brown,NA,NA,NA,NA,NA,NA,NA,NA,1217125,76,Lower Miocene,no,longer,45.13282076,13.75427576,48.976389,11.197222,16,4,claystone,low,4,1,y,12,referred to from collection number,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,110928,PaleoDB,M. Uhen,114402,39272,36434,15.97,11.1,13.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008651,77,Middle Miocene,no,longer,43.10227162,7.173462937,45.6,5.231944,16,4,not reported,NA,5,2,y,12,combined 2 entries. based on reference I assume 5 specimen,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,48173,PaleoDB,J. Head,114402,52039,12904,20,15.97,17.985,gray,calcareous,NA,brown,coal,NA,NA,NA,NA,1144038,76,Lower Miocene,no,longer,46.5217801,15.84397837,50.425,13.356944,16,4,marl,low,6,3,n,NA,based on 5 left and 1 right dentary,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,34615,PaleoDB,J. Hunter,114402,43888,9144,15.97,13.65,14.81,"shelly/skeletal,black,brown,gray,green","sandy,conglomeratic",silty,NA,mudstone,NA,NA,NA,NA,1091851,77,Middle Miocene,no,longer,45.97077245,13.59084285,48.626667,11.802778,16,4,marl,low,8,3,n,12,based on 2 dentaries. 3 maxillae. 1 intermaxilla. 2 vertebrae,Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,32191,PaleoDB,E. Fara,114402,47304,11567,15.97,11.608,13.789,"gray,blue",NA,NA,NA,marl,NA,NA,NA,NA,1148300,77,Middle Miocene,no,longer,41.16246172,2.629354773,43.529167,0.6125,16,4,claystone,low,33,1,y,1,waiting for Rage+Hossini2000 (that french paper),Albanerpeton,Albanerpetontidae
Albanerpeton inexpectatum,136199,PaleoDB,J. Mueller,114402,52039,43571,12.75,11.1,11.925,NA,NA,NA,NA,"""limestone""",NA,NA,NA,NA,1217133,77,Middle Miocene,no,longer,43.10227162,7.173462937,45.6,5.231944,16,4,not reported,NA,NA,1,y,NA,NA,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,13142,PaleoDB,E. Fara,67753,42675,4377,69.4,69.2,69.3,current ripples,NA,NA,NA,NA,NA,NA,NA,NA,1147004,67,Maastrichtian,no,longer,58.42520415,-63.31858327,47.8,-106.1,17,3,sandstone,medium 2,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,75846,ETE,M. Carrano,67753,42675,25623,84.9,70.6,77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070828,66,Campanian,no,longer,48.63297176,-73.82500618,37.8,-111.5,17,3,NA,NA,1,1,n,12,based on 1 dentary,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14466,Fossilworks,J. Alroy,67753,42675,1412,83.4,83.2,83.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070827,66,Campanian,no,longer,48.17852687,-73.67456245,37.4,-111.2,17,3,NA,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,146192,PaleoDB,M. Carrano,67753,42675,42675,81.3,76.2,78.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1147019,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,17,3,not reported,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,56627,ETE,M. Carrano,67753,42675,15088,84.9,70.6,77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070830,66,Campanian,no,longer,46.35060843,-70.85378964,36.2711,-108.2091,17,3,not reported,NA,1,1,y,1,NA,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14640,Fossilworks,J. Alroy,67753,42675,717,70.6,66.043,68.3215,gray,NA,NA,"""cross stratification"",yellow",sandstone,NA,NA,NA,NA,291026,67,Maastrichtian,no,longer,51.22804524,-67.01446488,40.386389,-104.491667,17,3,mudstone,low,2,1,y,1,baed on two undefined specimens,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,45566,ETE,M. Carrano,67753,42675,42675,81.3,76.2,78.75,tabular,"argillaceous,silty",NA,"deformed bedding,ferruginous",siltstone,NA,NA,NA,NA,1070826,66,Campanian,no,longer,59.03801725,-66.25170696,49.100049,-110.93967,17,3,sandstone,medium 1,2,1,y,1,combined 2 entries,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14514,Fossilworks,J. Alroy,67753,42675,1129,70.6,66.043,68.3215,"brown,gray",NA,NA,NA,NA,NA,NA,NA,NA,1070837,67,Maastrichtian,no,longer,53.55144824,-71.00888142,41.5683,-108.6678,17,3,mudstone,low,3,1,n,12,1 maxilla. 2 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14519,Fossilworks,J. Alroy,67753,42675,1239,70.6,66.043,68.3215,NA,sandy,NA,NA,NA,NA,NA,NA,NA,1070834,67,Maastrichtian,no,longer,53.77561785,-65.25146369,43.15,-104.5667,17,3,shale,low,6,3,n,12,6 dentaries,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14489,Fossilworks,J. Alroy,67753,42675,2988,76.4,76.2,76.3,NA,NA,NA,NA,sandstone,NA,fine conglomerate with thin layers of sandstone,NA,NA,1070829,66,Campanian,no,longer,38.51926098,-68.68485448,29.316667,-103.516667,17,3,conglomerate,high,9,3,n,12,based on 6 dentaries. 2 premaxillae + 1 maxillae,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14585,Fossilworks,J. Alroy,67753,42765,1239,70.6,66.043,68.3215,NA,carbonaceous,NA,NA,NA,NA,NA,NA,NA,1070825,67,Maastrichtian,no,longer,53.76648216,-65.35413425,43.116331,-104.636999,17,3,sandstone,medium 1,10,4,n,12,9 dentaries. 1 maxilla,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,14422,Fossilworks,J. Alroy,67753,42675,1510,85.8,84.9,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146991,65,Santonian,no,longer,57.40091092,-67.04760439,49.1,-111.8,17,3,sandstone,medium 1,79,14,n,12,combined 6 entries. based on 14 frontals. 26 dentaries. 12 maxillae. 18 premaxillae,Albanerpeton,Albanerpetontidae
Albanerpeton nexuosus,146190,PaleoDB,M. Carrano,67753,42675,42675,85.8,84.9,85.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292590,65,Santonian,no,longer,57.40091092,-67.04760439,49.1,-111.8,17,3,not reported,NA,NA,NA,,NA,NA,Albanerpeton,Albanerpetontidae
Albanerpeton pannonicus,35354,PaleoDB,A. Turner,254990,44192,9534,5.332,2.588,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,646881,79,Pliocene,yes,temporal single,44.86213406,18.83386105,45.9,18.216667,0,1,NA,NA,24,24,n,11,based on 24 fragmentary skulls. There are 25 diffrente layers in that pit. however this also applies to other localities too?,Albanerpeton,Albanerpetontidae
Albionbatrachus wightensis,39236,Fossilworks,J. Alroy,57627,10613,10589,37.2,33.9,35.55,NA,"silty,sandy,calcareous","calcareous,carbonaceous","shelly/skeletal,green",claystone,NA,NA,NA,NA,408688,73,Priabonian,yes,temporal single,44.81577889,3.990496068,50.629167,-1.55,0,1,claystone,low,1,1,y,1,NA,Albionbatrachus,Palaeobatrachidae
Ambystoma minshalli,18303,Fossilworks,J. Alroy,110628,1717,1717,15.97,13.6,14.785,NA,NA,NA,NA,NA,sandstone,current signs,sandstone,NA,288101,77,Middle Miocene,no,temporal single,46.51273901,-92.74495832,43.533333,-99.133333,0,1,sandstone,medium 2,1,1,n,73,based on a trunk vertebra [,Ambystoma,Ambystomatidae
Ambystoma minshalli,27507,Fossilworks,J. Alroy,110628,7572,7572,15.97,13.6,14.785,NA,NA,NA,NA,NA,NA,NA,NA,NA,288032,77,Middle Miocene,no,temporal single,45.50170532,-91.28856348,42.6,-97.65,0,1,not reported,NA,1,1,n,74,based on 1 vertebra,Ambystoma,Ambystomatidae
Ambystoma minshalli,27481,Fossilworks,J. Alroy,110628,733,733,15.97,13.6,14.785,"""cross stratification"",pebbly,brown,green",argillaceous,NA,NA,NA,sandstone,current signs,sandstone,NA,287793,77,Middle Miocene,no,temporal single,43.50596686,-92.86990853,40.528,-98.9606,0,1,sandstone,medium 2,2,1,y,NA,assumed,Ambystoma,Ambystomatidae
Ambystoma minshalli,18284,Fossilworks,J. Alroy,110628,25657,25657,15.97,13.6,14.785,"""cross stratification""",NA,NA,NA,NA,sandstone,current signs,sandstone,NA,286988,77,Middle Miocene,no,temporal single,45.81244016,-93.76904936,42.783333,-100.033333,0,1,sandstone,medium 2,6,1,n,12,based on holotyp: 1 turnk vertebra,Ambystoma,Ambystomatidae
Ambystoma minshalli,18141,Fossilworks,J. Alroy,110628,705,3503,15.97,13.6,14.785,NA,NA,NA,NA,NA,sandstone,"stream-deposited, fine-grained",sandstone,173,289373,77,Middle Miocene,no,temporal single,45.85983613,-94.26222298,42.8061,-100.505,0,1,sandstone,medium 1,78,3,n,12,67 trunk vertebra. 3 atlases,Ambystoma,Ambystomatidae
Ambystoma minshalli,18397,Fossilworks,J. Alroy,110628,7574,6331,15.97,13.6,14.785,"brown,red",NA,NA,NA,NA,claystone,NA,fine-grained siliciclastic,NA,288058,77,Middle Miocene,no,temporal single,46.03572937,-91.91657451,43.1,-98.3,0,1,claystone,low,NA,NA,,155,Green 1985,Ambystoma,Ambystomatidae
Ambystoma minshalli,18442,Fossilworks,J. Alroy,110628,7565,3503,15.97,13.6,14.785,NA,NA,NA,NA,NA,sandstone,current signs,sandstone,NA,287339,77,Middle Miocene,no,temporal single,45.86908432,-94.57287925,42.8,-100.8,0,1,sandstone,medium 2,NA,NA,,154,reference still missing: Voorhies 1990,Ambystoma,Ambystomatidae
Amphibiopodiscus saltator,56026,ETE,M. Carrano,133373,28154,15109,201.6,189.6,195.6,"current ripples,red",NA,NA,"green,white",sandstone,NA,NA,NA,NA,780899,46,Sinemurian,yes,temporal single,-44.05282492,14.95159101,-30.4,27.7167,0,1,sandstone,medium 1,NA,NA,,NA,NA,Amphibiopodiscus,NA
Anakamacops petrolicus,85431,PaleoDB,J. Mueller,137779,28776,28776,272.5,268,270.25,red,NA,NA,NA,NA,NA,NA,NA,NA,789653,34,Roadian-Wordian,yes,temporal single,25.32222932,109.2711577,39.704167,97.7375,0,1,mudstone,low,1,1,y,1,NA,Anakamacops,Dissorophidae
Anaschisma brachygnatha,91900,PaleoDB,R. Butler,64935,30942,30942,235,221.5,228.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,831025,42,Carnian,yes,temporal single,24.58363846,-34.82786869,42.733333,-108.683333,0,1,not reported,NA,1,1,y,1,NA,Anaschisma,Metoposauridae
Anaschisma browni,91900,PaleoDB,R. Butler,64934,30942,30942,235,221.5,228.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,831024,42,Carnian,yes,temporal single,24.58363846,-34.82786869,42.733333,-108.683333,0,1,not reported,NA,1,1,y,1,NA,Anaschisma,Metoposauridae
Anconastes vesperus,12943,Fossilworks,J. Alroy,136412,4336,4336,303.4,298.9,301.15,brown,NA,NA,NA,NA,NA,NA,NA,NA,146665,29,Kasimovian-Gzhelian,yes,temporal single,2.00652925,-35.24524229,36.304444,-106.347778,0,1,siltstone,medium 1,2,1,y,NA,NA,Anconastes,Trematopidae
Andrias matthewi,17969,Fossilworks,J. Alroy,110627,7566,3175,20.43,15.97,18.2,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,287370,76,Lower Miocene,no,longer,46.74454871,-94.76236049,42.4,-103.8,5,2,sandstone,medium 1,1,1,n,12,1 dentary (holotype),Andrias,Cryptobranchidae
Andrias matthewi,27418,Fossilworks,J. Alroy,110627,7566,7566,20.43,15.97,18.2,NA,NA,NA,NA,NA,not reported,NA,NA,NA,287379,76,Lower Miocene,no,longer,46.35979173,-94.04312549,42.066667,-103.083333,5,2,not reported,NA,1,1,n,12,right dentary,Andrias,Cryptobranchidae
Andrias matthewi,75873,Fossilworks,J. Alroy,110627,25656,25656,15.97,13.6,14.785,NA,NA,NA,NA,conglomerate,sandstone,NA,sandstone,NA,707290,77,Middle Miocene,no,longer,52.49156705,-99.33471881,49.183333,-105.95,5,2,sandstone,medium 1,2,1,n,12,2 trunk vertebra,Andrias,Cryptobranchidae
Andrias matthewi,17923,Fossilworks,J. Alroy,110627,7566,3558,19.9,19.8,19.85,NA,NA,NA,NA,NA,sandstone,current signs,sandstone,NA,287363,76,Lower Miocene,no,longer,47.09061233,-93.95284412,42.8,-103.1,5,2,sandstone,medium 2,2,1,n,12,2 maxilary elements,Andrias,Cryptobranchidae
Andrias matthewi,18284,Fossilworks,J. Alroy,110627,25657,25657,15.97,13.6,14.785,"""cross stratification""",NA,NA,NA,NA,sandstone,current signs,sandstone,NA,286986,77,Middle Miocene,no,longer,45.81244016,-93.76904936,42.783333,-100.033333,5,2,sandstone,medium 2,2,1,n,12,right + left maxilla,Andrias,Cryptobranchidae
Angusaurus tsylmensis,39811,PaleoDB,J. Hunter,58499,10285,10285,251.3,247.2,249.25,"gray,green,red",NA,NA,"coarse,very coarse","""siliciclastic""",NA,NA,NA,NA,411695,39,Olenekian,yes,temporal single,50.5305141,47.92780435,65.448333,52.113889,0,1,claystone,low,NA,NA,,NA,NA,Angusaurus,Benthosuchidae
Anisodexis imbricarius,28256,Fossilworks,J. Alroy,309178,17702,17702,279.5,272.5,276,red,NA,conglomeratic,NA,sandstone,NA,NA,NA,NA,1242744,33,Kungurian,yes,temporal single,0.462893986,-29.63242439,33.766667,-99.216667,0,1,claystone,low,1,1,y,1,NA,Anisodexis,Eryopidae
Anoualerpeton priscus,39075,PaleoDB,M. Carrano,244724,30986,10558,167.7,164.7,166.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,405981,51,Bathonian,yes,temporal single,35.9998508,20.06651109,51.86667,-1.26667,0,1,marl,low,402,48,n,30,based on 97 dentaries,Anoualerpeton,Albanerpetontidae
Anoualerpeton unicus,45726,ETE,M. Carrano,156363,30986,7910,145.5,140.2,142.85,lenticular,calcareous,NA,red,sandstone,NA,NA,NA,NA,463336,56,Berriasian,yes,temporal single,16.56501981,11.29949371,32.66667,-3.1,0,1,limestone,low,NA,NA,,NA,NA,Anoualerpeton,Albanerpetontidae
Antarctosuchus polyodon,105296,PaleoDB,R. Butler,324881,55307,38098,247.2,242,244.6,"quartzose,intraclastic",silty,NA,NA,NA,NA,The nature of the unit suggests rapid deposition from a large flow of relatively high viscosity and moderate to lower velocity,NA,1,1286789,40,Anisian,yes,temporal single,-70.8294837,31.7697528,-84.35,164.05,0,1,conglomerate,high,1,1,y,1,NA,Antarctosuchus,NA
Apachesaurus gregorii,39160,PaleoDB,M. Carrano,69036,14122,32081,221.5,205.6,213.55,"lenticular,brown,red","silty,sandy","silty,carbonaceous","paleosol/pedogenic,concretionary,gray,green",claystone,NA,NA,NA,NA,483852,43,Norian,no,longer,9.880613921,-37.44305158,34.43742051,-109.4624895,15,2,mudstone,low,1,1,y,1,NA,Apachesaurus,Metoposauridae
