species,collection_no,source_database,collection.authorizer,taxon_no,occurrence.reference_no,collection.reference_no,ma_max,ma_min,ma_mid,lithadj,minor_lithology,minor_lithology2,lithadj2,lithology2,lithology_mel,lithadj_mel,lithology2_mel,ref_lithology_mel,occurrence_no,slice,stage,single_occurrence,strat_range,gp_lat,gp_lng,latdec,lngdec,ma_range,slice_range,lithology1,energetic_system,specimen_no,mni,mni_assumed,abundance_ref,specimens,genus,family
Scapherpeton tectum,14508,Fossilworks,J. Alroy,NA,13103,960,70.6,66.043,68.3215,NA,silty,NA,NA,NA,sandstone,NA,sandstone,NA,483532,67,Maastrichtian,no,longer,58.5210996,-64.72052064,47.55,-107.1333,53,10,sandstone,medium 1,4,1,n,123,4 vertebrae,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,85498,ETE,M. Carrano,NA,28887,28887,70.6,66.043,68.3215,"planar lamination,paleosol/pedogenic,fine,gypsiferous,intraclastic",NA,NA,NA,NA,siltstone,NA,siltstone,NA,790036,67,Maastrichtian,no,longer,58.5053884,-64.39257931,47.613911,-106.896561,53,10,siltstone,medium 1,4,1,y,101,not specified,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14566,Fossilworks,J. Alroy,NA,803,14177,70.6,66.043,68.3215,"""cross stratification""",NA,NA,NA,NA,sandstone,current signs,sandstone,NA,488174,67,Maastrichtian,no,longer,53.73451813,-65.18566841,43.128947,-104.494713,53,10,sandstone,medium 2,4,1,n,123,1 atlas; exoccipital; limbbones; vertebra,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34312,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,sandy,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362609,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,5,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,34311,Fossilworks,J. Alroy,NA,9017,9017,79.7,79,79.35,shelly/skeletal,sandy,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,362578,66,Campanian,no,longer,58.93029437,-65.69151769,49.12,-110.47,53,10,mudstone,medium 1,5,1,y,118,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,85499,ETE,M. Carrano,NA,28887,28887,70.6,66.043,68.3215,"tabular,medium,concretionary,ferruginous,intraclastic",NA,NA,NA,NA,sandstone,NA,sandstone,NA,790061,67,Maastrichtian,no,longer,58.5053884,-64.39257931,47.613911,-106.896561,53,10,sandstone,medium 2,5,1,y,101,not specified,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14514,Fossilworks,J. Alroy,NA,1129,1129,70.6,66.043,68.3215,"brown,gray",NA,NA,NA,NA,mudstone,NA,fine-grained siliciclastic,NA,464354,67,Maastrichtian,no,longer,53.55144824,-71.00888142,41.5683,-108.6678,53,10,mudstone,low,5,4,n,121,4 dentaries,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,45136,ETE,M. Carrano,NA,11749,11749,70.6,66.043,68.3215,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,458095,67,Maastrichtian,no,longer,56.49988976,-62.11652491,46.3819,-103.9644,53,10,sandstone,medium 1,7,1,y,124,info missing in reference,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14640,Fossilworks,J. Alroy,NA,717,717,70.6,66.043,68.3215,gray,NA,NA,"""cross stratification"",yellow",sandstone,mudstone,NA,fine-grained siliciclastic,NA,291024,67,Maastrichtian,no,longer,51.22804524,-67.01446488,40.386389,-104.491667,53,10,mudstone,low,7,2,n,120,3 dentaries,Scapherpeton,Scapherpetontidae
Scapherpeton tectum,14654,Fossilworks,J. Alroy,NA,13103,960,67.3,67.1,67.2,NA,NA,NA,NA,NA,sandstone,NA,sandstone,NA,488393,67,Maastrichtian,no,longer,58.29906384,-63.68367589,47.6,-106.2667,53,10,sandstone,medium 1,8,1,n,123,1 atlas. 7 vertebrae,Scapherpeton,Scapherpetontidae
