order,family,genus,species,iucn,SVL,SVLreliability,habitatNumber,food,pet,medicine,research,religion,other
Anura,Dendrobatidae,Minyobates,steyermarki,CR,15.8,1,2,99999,99999,99999,1,99999,99999
Anura,Microhylidae,Cophixalus,iovaorum,99999,15.8,1,99999,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Psychrophrynella,bagrecito,VU,15.8,1,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Excidobates,captivus,DD,16,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,sirensis,EN,16,1,1,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,brittoni,LC,16,1,7,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,gryllus,EN,16,1,2,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,sarotra,DD,16,0,5,99999,99999,99999,99999,99999,99999
Anura,Brachycephalidae,Brachycephalus,ephippium,LC,16.1,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Epipedobates,narinensis,99999,16.1,0,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,pallidus,LC,16.1,1,9,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,langeri,99999,16.2,0,99999,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,xenodactylus,VU,16.21,0,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,manengoubensis,DD,16.295,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Anomaloglossus,stepheni,LC,16.3,1,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,defleri,99999,16.5,99999,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,gutturosus,LC,16.5,1,4,99999,99999,99999,99999,99999,99999
Anura,Pyxicephalidae,Microbatrachella,capensis,CR,16.5,0,4,99999,99999,99999,99999,99999,99999
Anura,Strabomantidae,Euparkerella,cochranae,LC,16.5,1,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,virolinensis,EN,16.8,1,2,99999,1,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,phyllophilus,NT,16.8,1,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Vitreorana,parvula,DD,17,1,3,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,feichtingeri,99999,17,1,99999,99999,99999,99999,99999,99999,99999
Anura,Myobatrachidae,Crinia,tinnula,VU,17,99999,4,99999,99999,99999,99999,99999,99999
Anura,Sooglossidae,Sooglossus,sechellensis,EN,17.075,1,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,francisci,LC,17.1,0,11,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,liberiensis,NT,17.1,1,4,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Allobates,brunneus,LC,17.2,1,4,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,interruptus,99999,17.2,0,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,kakamikro,99999,17.2,1,99999,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Platypelis,tetra,EN,17.275,0,3,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,laticeps,EN,17.3,0,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Allobates,chalcopis,VU,17.3,1,4,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Cophixalus,phaeobalius,99999,17.3,1,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,calcaratus,LC,17.36,1,6,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,scapularis,LC,17.4,1,10,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Pseudophilautus,nasutus,EX,17.4,0,1,99999,99999,99999,99999,99999,99999
Anura,Leptodactylidae,Paratelmatobius,cardosoi,DD,17.475,0,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,dorisswansonae,CR,17.5,1,1,99999,1,99999,99999,99999,99999
Anura,Mantellidae,Blommersia,domerguei,LC,17.5,1,5,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,breviceps,DD,17.5,0,2,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Pseudophilautus,rugatus,EX,17.5,0,1,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Allobates,ornatus,DD,17.7,1,3,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,variabilis,DD,17.7,1,2,99999,1,99999,99999,99999,99999
Anura,Microhylidae,Microhyla,karunaratnei,CR,17.7,99999,4,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,leveleve,LC,17.7,1,9,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Anomaloglossus,roraima,DD,17.8,1,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Ranitomeya,vanzolinii,LC,17.8,1,1,99999,1,99999,99999,99999,99999
Anura,Rhacophoridae,Raorchestes,manohari,99999,17.8,1,99999,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,ukingensis,DD,17.815,1,5,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,minutissimus,VU,17.9,1,3,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,kinangopensis,LC,17.9,1,3,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Amazophrynella,minuta,LC,18,1,3,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,bombetes,EN,18,1,2,99999,1,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,pinchoni,EN,18,1,2,99999,99999,99999,99999,99999,99999
Anura,Hyperoliidae,Hyperolius,pusillus,LC,18,0,15,99999,99999,99999,99999,99999,99999
Anura,Mantellidae,Mantidactylus,tricinctus,DD,18,1,3,99999,99999,99999,99999,99999,99999
Anura,Microhylidae,Microhyla,palmipes,LC,18,1,3,99999,99999,99999,99999,99999,99999
Anura,Pyxicephalidae,Anhydrophryne,ngongoniensis,CR,18,0,3,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Teratohyla,amelie,DD,18.2,0,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,tolimensis,EN,18.2,1,1,99999,99999,99999,99999,99999,99999
Anura,Bufonidae,Nectophrynoides,frontierei,DD,18.3,0,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,albolabris,DD,18.3,1,3,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,stridens,DD,18.5,1,2,99999,99999,99999,99999,99999,99999
Anura,Eleutherodactylidae,Eleutherodactylus,intermedius,EN,18.5,1,2,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,latifrons,LC,18.5,1,15,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,ruthbeateae,99999,18.6,1,99999,99999,99999,99999,99999,99999,99999
Anura,Rhacophoridae,Pseudophilautus,oxyrhynchus,EX,18.6,0,1,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,bequaerti,VU,18.74,1,5,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,zimmeri,DD,18.75,99999,2,99999,99999,99999,99999,99999,99999
Anura,Dendrobatidae,Andinobates,daleswansoni,VU,18.8,1,1,99999,1,99999,99999,99999,99999
Anura,Pyxicephalidae,Cacosternum,plimptoni,LC,18.8,1,19,99999,99999,99999,99999,99999,99999
Anura,Phrynobatrachidae,Phrynobatrachus,minutus,LC,18.835,1,9,99999,99999,99999,99999,99999,99999
Anura,Arthroleptidae,Arthroleptis,xenochirus,LC,19,0,8,99999,99999,99999,99999,99999,99999
Anura,Centrolenidae,Cochranella,ritae,DD,19,1,2,99999,99999,99999,99999,99999,99999
